Time;Angle1;Angle2;AngularVel1;AngularVel2;A;B;C;AB;BC;gt_Angle1;gt_Angle2;abs_err_Angle1;abs_err_Angle2
64.6322;0.022827084521380755;-2.8793758527279767;7.447759788692055;-1.645876343736369;[500. 500.];[504.1 720.2];[440.7 504.3];[  4.1 220.2];[ -63.4 -215.9];0.018617285639616826;-2.8745848511591707;0.00420979888176393;0.004791001568805964
65.6616;-0.6889243882148615;-0.7418844933669542;-6.31188504694656;7.3106879457204474;[500. 500.];[358.8 670.9];[139.3 701.1];[-141.2  170.9];[-219.5   30.2];-0.6905220599879418;-0.7435472689017493;0.0015976717730803447;0.0016627755347951023
66.6737;1.641787935621013;-1.9029638862386398;24.973762923174537;-58.84525589990347;[500. 500.];[724.8 483.6];[667.3 701.9];[224.8 -16.4];[-57.5 218.3];1.6436210492349745;-1.9011702331777114;0.0018331136139615456;0.0017936530609283796
67.6693;2.0482770454784744;2.940567711551095;0.44913395386787647;61.98051592790415;[500. 500.];[700.9 395.6];[484.5 457.3];[ 200.9 -104.4];[-216.4   61.7];2.050049148583602;2.9400901073918093;0.0017721031051274316;0.0004776041592857716
68.6939;1.437070052013649;0.723002762990054;23.316207374061275;-24.349737731429364;[500. 500.];[722.1 530.7];[903.8 408.5];[222.1  30.7];[ 181.7 -122.2];1.433440681615088;0.7294114247584458;0.003629370398561038;0.006408661768391832
69.6868;0.8460266431001592;1.2651891839653215;24.106705236878934;-28.033185838725856;[500. 500.];[664.8 647.9];[855.4 533. ];[164.8 147.9];[ 190.6 -114.9];0.8393910458325875;1.2739053823764455;0.00663559726757168;0.008716198411123921
70.6865;-0.0865412943435607;0.2329515355838364;3.291472737601234;43.12452569773227;[500. 500.];[480.2 718.6];[512.8 936.2];[-19.8 218.6];[ 32.6 217.6];-0.09032990866132763;0.23904007291171148;0.0037886143177669335;0.006088537327875065
71.7042;2.462047355743518;-2.014366453648568;4.409373938370198;-15.31848320090626;[500. 500.];[642.3 323.7];[739.5 525.9];[ 142.3 -176.3];[ 97.2 202.2];2.4625090075709073;-2.0144103845855637;0.0004616518273894421;4.393093699572859e-05
72.6832;1.7359450042095235;1.7869866657673257;-4.231952385879895;-5.830268381752515;[500. 500.];[722.1 464.1];[637.6 257.2];[222.1 -35.9];[ -84.5 -206.9];1.7310491719342147;1.798278648513526;0.004895832275308765;0.011291982746200357
73.6701;-0.7086262721276703;3.133893094484091;-25.89029565490984;55.00723342118753;[500. 500.];[355.  668.2];[503.3 497.5];[-145.   168.2];[ 148.3 -170.7];-0.7114591257395079;3.137757979969735;0.0028328536118376046;0.0038648854856440096
74.7873;0.69879857870975;-0.11079597516218256;12.742877100896363;-11.25735365812952;[500. 500.];[641.  668.9];[763.3 851.8];[141.  168.9];[122.3 182.9];0.6956111810029292;-0.10622196546114293;0.0031873977068208603;0.004574009701039633
75.8427;-0.5817054575655196;0.5817054575655196;-2.8645988490271113;-25.635182643196234;[500. 500.];[378.4 683.5];[378.6 905.5];[-121.6  183.5];[2.00e-01 2.22e+02];-0.5852307824995606;0.5861316831567316;0.0035253249340410076;0.004426225591211974
76.8486;1.1952732971347029;0.06826421432905196;1.5461896438422926;8.61468895570717;[500. 500.];[707.4 582.5];[915.9 648.6];[207.4  82.5];[208.5  66.1];1.1922034248846411;0.07158968780210705;0.0030698722500617226;0.0033254734730550906
77.849;-1.0588964625282709;-0.1728599665117756;-3.776560157039128;13.42418584071116;[500. 500.];[305.9 609.5];[ 98.3 682.7];[-194.1  109.5];[-207.6   73.2];-1.0571602586383113;-0.17464584256541313;0.0017362038899595422;0.0017858760536375307
78.8459;-0.27704731150704176;-0.8360893586709619;-6.508344721754998;5.921960417420739;[500. 500.];[439.4 710.3];[238.3 810.3];[-60.6 210.3];[-201.1  100. ];-0.2805591166551579;-0.828779960041467;0.003511805148116165;0.007309398629494868
