Time,Angle1,Angle2,AngularVel1,AngularVel2
"7,6378","-2,82955053202726","-0,6556869870819539","14,815416808244642","-43,211808823064914"
"7,686","-2,14531935465324","-2,415097345303146","14,195667580373982","-36,5022895896516"
"7,732","-1,3453379605118367","2,237918723902965","17,3908998726391","-35,43846169507535"
"7,7755","0,9927312843048199","-2,7505068810186275","53,74871827164744","-114,67645068785305"
"7,824","1,963556992432218","2,1954262047617155","20,017024909843357","-27,572210750499995"
"7,8739","2,7935687548351313","0,42230557816722486","16,633502252563375","-35,533479490871514"
"7,9205","-2,6524103207226277","-1,606330717347921","17,96579896184189","-43,532967714917525"
"7,966","-1,8631023779688043","-3,041455729017777","17,34742731327064","-31,541209047688763"
"8,0138","-0,910148884081052","1,59116589452817","19,936265562505437","-34,53062099651993"
"8,0636","1,4056476493802699","-3,011984560003567","46,50193842291867","-92,4327400508392"
"8,106","2,2817978913675265","2,1130718210749553","20,66392080158592","-27,31436146464731"
"8,1519","3,031902550102772","0,5939533481134315","16,342149427783262","-33,09626302748446"
"8,2013","-2,437266402737509","-1,2648357835476896","16,47806385302226","-37,627310357512314"
"8,2591","-0,5264452546902201","2,8198293922284647","33,05918941258268","-38,036680474107634"
"8,3055","0,5729661428887061","1,2428088470330545","23,694211154718126","-33,987511749900925"
"8,3864","2,405843096580951","-3,0582725395540717","22,656081009792963","-53,16540650911174"
"8,4318","2,992269992896096","1,8367049929499095","12,916891989320147","-30,577263759374038"
"8,4811","-2,5913769331647414","0,11082744842563363","14,189419495309668","-35,00765810394155"
"8,5276","-1,7856117271965553","-1,6990048668139415","17,328283999315836","-38,92112505891561"
"8,5732","-0,8587487581434325","-2,8499135964432614","20,325942303796413","-25,2392265269586"
"8,6188","1,257520145801225","0,6971752507717165","46,409405788259726","-60,00211535010066"
"8,6658","2,1746706133342544",,"19,513839734745055",
"8,7107","2,725154036398201","3,114380995753726","12,260209867794357",
"8,7549","-3,071532070951337","1,713081817093414","11,006769226924156","-31,703601327156367"
"8,8024","-2,412385276393582","-0,028572942911380447","13,876774622268181","-36,6664160001"
"8,8507","-1,642103791580187","-1,7716347525407936","15,94785682843489","-36,08823622421195"
"8,8965","0,31887699908756595","2,3311868261372464","42,81617446872838","-47,60619494544877"
"8,9419","1,2857524414116943","0,44568470452707587","21,29681591022273","-41,53088373590614"
"8,9895","2,1405527802778748","-1,7807388135678899","17,95799031231502","-46,7736033213236"
"9,0379","2,622990608930501","3,0140174138642943","9,967723732492091","-30,75266693692922"
"9,0865","3,0401719222957584","1,6542817617167611","8,583977641260683","-27,97809983842739"
"9,1327","-2,6858188976130877","0,09890785169261558","12,06048673746173","-33,66610194857408"
"9,1761","-1,3269022619412234","-2,764204174976901","31,311443218245646","-65,97032319514999"
"9,2242","-0,4209905742522456","2,3121349318192275","18,833922820976742","-25,090357596329785"
"9,2718","0,5992662072903374","0,10836701650437881","21,43396599879332","-46,297645279722765"
"9,3495","2,10140482111175","2,722625632097507","19,332543292424848","33,64554202822555"
"9,394","2,562095312748221","1,4769641570797525","10,352595317673657","-27,992392697028624"
"9,4441","3,0453992260309235","0,08689137028373402","9,646784696261438","-27,7459638083035"
"9,4882","-2,7545664014627924","-1,3134181280075732","10,95736235115346","-31,753049847875264"
"9,5344","-2,3311996965734245","-2,5375598399553985","9,163781491112076","-26,496573851685156"
"9,5823","-1,0750312516904552","0,5688130287608836","26,22481095789065","-66,32176280716672"
"9,6273","-0,049958395721943306","-1,7905960040350832","22,779396799300297","-52,43131183991046"
"9,6746","0,8904414084624204","-2,9467506463300857","19,881602625462275","-24,443015693340485"
"9,7223","1,7301479676988134","2,6281529304590143","17,603911095102305","-14,848673593091725"
"9,7706","2,331354879688256","1,8774078045723377","12,447348074315755","-15,543377347550452"
"9,8179","-3,0449780928245795","0,21927095824280585","19,172353798451418","-35,055747279694195"
"9,8632","-2,581597341014406","-0,6706525337492829","10,229155669098526","-19,64511019850042"
"9,9066","-2,0482770454784744","-1,5005714561861656","12,28848607225696","-19,12255581651877"
"9,9526","-1,3593911756839088","-2,1138247721702363","14,975779778142357","-13,331593825740335"
"10,0067","-0,4555341967702366","-2,208439701024592","16,70715302982757","-1,748889627622099"
"10,0496","0,3289446748869344","-1,3364247401898626","18,286220784549656","20,326689063746844"
